OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
STARLINK-34391,2025-123H,2026-02-09T18:52:14.541024,14.98331494,0.0002899,69.9997,264.615,270.4108,89.6718,0,U,64298,999,3744,0.00045795,5.376e-05,0.0
STARLINK-34378,2025-123J,2026-02-09T19:34:31.581120,14.98331446,0.0002726,69.9998,264.7199,268.2364,91.8483,0,U,64299,999,3744,0.00059096,6.965e-05,0.0
STARLINK-34376,2025-123K,2026-02-09T18:34:26.729472,14.98254551,0.0003177,70.0018,264.979,223.3785,136.7124,0,U,64300,999,3743,0.0034911,0.0004173,0.0
STARLINK-34372,2025-123L,2026-02-09T00:32:42.147456,14.98314928,0.00027377,69.9999,266.7677,277.2576,82.8272,0,U,64301,999,3732,0.00057498748,6.772e-05,0.0
STARLINK-34379,2025-123M,2026-02-09T16:02:48.941664,15.4275558,0.0004793,69.9991,240.5523,285.03,75.0351,0,U,64302,999,3803,0.000463,0.00020214,0.0
STARLINK-34356,2025-123N,2026-02-09T18:58:13.175328,14.98343428,0.0002015,70.002,264.6303,253.6457,106.448,0,U,64303,999,3744,0.000166,1.889e-05,0.0
STARLINK-34360,2025-123P,2026-02-09T18:28:27.477408,14.98339026,0.0002516,69.9998,264.9563,264.4454,95.6418,0,U,64304,999,3743,0.00050764,5.971e-05,0.0
STARLINK-34383,2025-123Q,2026-02-09T18:52:29.074368,14.98336493,0.0002791,69.9997,265.0154,259.3201,100.7643,0,U,64305,999,3743,0.00013146,1.476e-05,0.0
STARLINK-34355,2025-123R,2026-02-09T01:09:00.733824,14.98299801,0.00032087,69.9997,266.8527,282.3771,77.7029,0,U,64306,999,3732,-0.00072242359,-8.696e-05,0.0
STARLINK-34380,2025-123S,2026-02-09T18:40:27.898752,14.983365,0.0002606,69.9996,264.9854,260.3199,99.7666,0,U,64307,999,3743,0.00023021,2.655e-05,0.0
STARLINK-34374,2025-123T,2026-02-09T19:58:33.800160,14.9833897,0.0002643,70.0032,264.7782,210.1184,149.9824,0,U,64308,999,3744,0.00029519,3.432e-05,0.0
STARLINK-34370,2025-123U,2026-02-09T19:46:20.856000,14.98415209,0.0002301,70.0012,264.7447,239.5511,120.5421,0,U,64309,999,3744,-0.0025141,-0.00030027,0.0
STARLINK-34357,2025-123V,2026-02-09T18:40:14.657952,14.98336228,0.0002495,69.9997,264.9894,266.1423,93.9451,0,U,64310,999,3743,0.00042491,4.981e-05,0.0
STARLINK-34368,2025-123W,2026-02-09T20:00:01.999008,14.98327384,0.0003297,70.0005,264.7908,264.662,79.3276,0,U,64311,999,580,-0.0016929,-0.00020234,0.0
STARLINK-34384,2025-123X,2026-02-09T19:52:19.904160,14.98328963,0.0002891,69.9993,264.7608,269.8489,90.2339,0,U,64312,999,3744,0.00045203,5.304e-05,0.0
STARLINK-34358,2025-123Y,2026-02-09T00:26:41.507808,14.98330203,0.00014791,70.0024,266.7547,292.3466,67.7536,0,U,64313,999,3732,-6.9514808e-05,-9.22e-06,0.0
STARLINK-34354,2025-123Z,2026-02-09T16:16:45.955488,14.96421438,0.0001813,70.0,265.0404,179.0301,181.0861,0,U,64314,999,3742,-0.07541,-0.00798986,0.0
STARLINK-34387,2025-123AA,2026-02-09T19:16:15.070080,14.98338579,0.000266,69.9999,264.6727,261.0449,99.0409,0,U,64315,999,3744,0.0002369,2.735e-05,0.0
STARLINK-33590,2025-123AB,2026-02-09T20:00:01.999008,14.98344141,0.0002728,70.0013,264.6356,270.5031,207.6143,0,U,64316,999,580,-0.0020278,-0.00024213,0.0
STARLINK-11736 [DTC],2025-124A,2026-02-08T18:36:46.428768,15.70886402,0.00030059,43.0011,203.8019,305.6138,54.445,0,U,64317,999,3828,0.001133336,0.00147894,0.0
STARLINK-11673 [DTC],2025-124B,2026-02-09T10:53:21.000192,15.7100734,8.849e-05,42.9997,199.4131,196.8248,163.259,0,U,64318,999,3839,0.001755912,0.0023292,0.0
STARLINK-11671 [DTC],2025-124C,2026-02-09T20:00:01.999008,15.7082289,0.0001812,43.0001,196.9747,273.5197,136.1942,0,U,64319,999,602,-3.7409e-05,-5.242e-05,0.0
STARLINK-11594 [DTC],2025-124D,2026-02-09T14:34:41.648736,15.70914399,0.0001726,42.9989,198.8562,301.1521,58.9177,0,U,64320,999,3841,0.0012357,0.00161742,0.0
STARLINK-11596 [DTC],2025-124E,2026-02-09T11:16:17.077440,15.71001804,0.00028398,43.0,199.5374,269.5891,90.4652,0,U,64321,999,3839,0.0017479141,0.00231784,0.0
STARLINK-11747 [DTC],2025-124F,2026-02-08T18:13:50.096640,15.70889154,0.00034027,43.0015,203.6701,295.982,64.0697,0,U,64322,999,3828,0.0016078902,0.00211669,0.0
STARLINK-11728 [DTC],2025-124G,2026-02-09T17:52:55.010496,15.70885536,0.000259,42.9993,197.2805,300.8446,59.2166,0,U,64323,999,3844,0.0014689,0.00192846,0.0
STARLINK-11696 [DTC],2025-124H,2026-02-09T15:05:05.302176,15.70945335,0.0001912,42.9989,198.1301,273.43,86.6349,0,U,64324,999,3842,0.0021392,0.00284921,0.0
STARLINK-11698 [DTC],2025-124J,2026-02-09T13:42:29.160576,15.70833751,0.0001161,42.9989,198.5613,255.3678,104.7061,0,U,64325,999,3841,0.001538,0.00201707,0.0
STARLINK-11678 [DTC],2025-124K,2026-02-09T17:14:51.818784,15.70929377,0.0001582,42.9989,197.9589,275.4598,84.6089,0,U,64326,999,3843,0.001539,0.00202681,0.0
STARLINK-11674 [DTC],2025-124L,2026-02-09T13:25:53.058432,15.70893132,0.0003116,42.9999,198.4704,295.9284,64.1263,0,U,64327,999,3841,0.00054401,0.00070114,0.0
STARLINK-11707 [DTC],2025-124M,2026-02-09T10:45:42.014016,15.71007037,0.00012,42.9983,199.3657,165.9257,194.1645,0,U,64328,999,3839,0.0017306069,0.00229456,0.0
STARLINK-11734 [DTC],2025-124N,2026-02-09T11:39:02.097216,15.70977004,0.00015294,42.997,198.7656,251.6954,108.3747,0,U,64329,999,3840,0.002096984,0.00279473,0.0
STARLINK-34252,2025-124P,2026-02-09T00:27:49.560768,15.27610882,9.239e-05,42.9973,283.8057,292.0585,68.0168,0,U,64330,999,3739,0.0010435373,0.00028592,0.0
STARLINK-34050,2025-124Q,2026-02-09T01:47:10.002048,15.27611525,0.0003302,43.0046,283.3531,246.478,113.5725,0,U,64331,999,3846,0.00074144765,0.00020218,0.0
STARLINK-33782,2025-124R,2026-02-09T01:30:29.662848,15.27609087,0.00055317,43.0013,283.2615,235.0353,124.9979,0,U,64332,999,3740,0.00095344462,0.000261,0.0
STARLINK-34207,2025-124S,2026-02-09T01:56:25.369152,15.27598657,0.00016918,42.9973,283.4075,266.2405,93.8253,0,U,64333,999,3740,0.00096417562,0.0002638,0.0
STARLINK-34260,2025-124T,2026-02-09T00:33:22.002912,15.27604057,0.00027586,42.999,283.8286,246.6185,113.4377,0,U,64334,999,3739,0.001018877,0.00027904,0.0
STARLINK-33855,2025-124U,2026-02-09T01:24:58.303296,15.27602711,0.0001684,42.9964,283.2384,267.7223,92.3435,0,U,64335,999,3740,0.001406911,0.00038684,0.0
STARLINK-34223,2025-124V,2026-02-09T01:09:01.011168,15.27650285,0.00014438,43.0014,279.6878,294.5294,65.5407,0,U,64336,999,3744,0.0009759267,0.00026748,0.0
STARLINK-34216,2025-124W,2026-02-09T01:04:36.924384,15.2761573,0.0003038,43.0024,283.1249,240.4718,119.5831,0,U,64337,999,3740,0.00096905502,0.00026531,0.0
STARLINK-34218,2025-124X,2026-02-09T01:25:40.293696,15.27606059,0.00016535,43.0016,279.7849,278.1858,81.8806,0,U,64338,999,3744,0.0004855412,0.00013133,0.0
STARLINK-34017,2025-124Y,2026-02-09T01:41:37.483008,15.27612204,0.00013444,43.0023,283.3238,313.9884,46.0857,0,U,64339,999,3740,0.0010290171,0.0002819,0.0
STARLINK-33977,2025-126A,2026-02-09T14:01:23.378304,14.98334916,0.0003089,70.0017,105.2623,263.2953,96.7854,0,U,64344,999,3768,0.00031242,3.637e-05,0.0
STARLINK-34426,2025-126B,2026-02-09T13:55:08.332320,14.98338189,0.0002942,70.0002,105.2403,268.6627,91.4195,0,U,64345,999,3647,0.00028664,3.33e-05,0.0
STARLINK-34437,2025-126C,2026-02-09T14:37:15.089088,14.98324655,0.00027,70.0018,105.3452,271.6647,88.4202,0,U,64346,999,3647,0.0016633,0.00019807,0.0
STARLINK-34407,2025-126D,2026-02-09T16:00:00.999936,14.98326651,0.000329,70.0003,105.2202,275.3503,11.4155,0,U,64347,999,567,0.0011781,0.00013991,0.0
STARLINK-34274,2025-126E,2026-02-09T13:25:07.129920,14.98334081,0.000317,70.0007,105.5717,270.2598,89.8198,0,U,64348,999,3646,0.0001793,2.047e-05,0.0
STARLINK-34301,2025-126F,2026-02-09T20:00:01.999008,14.98351778,0.0003393,70.0005,104.6262,273.2898,350.7167,0,U,64349,999,580,-0.0036683,-0.00043617,0.0
STARLINK-34425,2025-126G,2026-02-09T14:31:12.056160,14.98337712,0.0003066,70.0013,105.3278,264.4023,95.6786,0,U,64350,999,3647,0.00016566,1.885e-05,0.0
STARLINK-34389,2025-126H,2026-02-09T16:00:00.999936,14.98356374,0.0003277,70.0007,105.0932,275.2859,124.0623,0,U,64351,999,578,0.001715,0.00020444,0.0
STARLINK-34385,2025-126J,2026-02-09T13:13:05.016864,14.98316228,0.0002934,70.0019,105.543,257.7421,102.341,0,U,64352,999,3646,-0.00045258,-5.487e-05,0.0
STARLINK-34431,2025-126K,2026-02-09T16:00:00.999936,14.98308652,0.0003345,70.0004,105.0247,269.376,197.4553,0,U,64353,999,568,0.0019139,0.00022805,0.0
STARLINK-34473,2025-126L,2026-02-09T14:13:12.195264,14.98337353,0.0003043,70.0017,105.2864,262.1602,97.9212,0,U,64354,999,3647,0.001115,0.00013238,0.0
STARLINK-34270,2025-126M,2026-02-09T14:19:10.732800,14.9834178,0.0003486,70.0009,105.2986,271.2742,88.8018,0,U,64355,999,3768,0.00057966,6.832e-05,0.0
STARLINK-34397,2025-126N,2026-02-09T13:19:07.172832,14.98325412,0.0003062,70.0007,105.5528,272.6838,87.397,0,U,64356,999,3646,0.00057368,6.758e-05,0.0
STARLINK-34454,2025-126P,2026-02-09T13:25:21.491328,14.98338942,0.0003237,70.0004,105.5659,269.7698,90.309,0,U,64357,999,3646,0.00024419,2.822e-05,0.0
STARLINK-34436,2025-126Q,2026-02-09T13:43:20.756064,14.98347372,0.0003104,70.0016,105.21,264.9921,95.0884,0,U,64358,999,3647,0.00055754,6.569e-05,0.0
STARLINK-34291,2025-126R,2026-02-09T14:07:24.575232,14.98321775,0.0003171,70.001,105.2649,264.4013,95.6785,0,U,64359,999,3647,0.00046141,5.416e-05,0.0
STARLINK-34458,2025-126S,2026-02-09T20:00:01.999008,14.98356512,0.0002265,70.0006,104.6986,271.3228,284.2443,0,U,64360,999,580,-0.0035821,-0.00042603,0.0
STARLINK-34243,2025-126T,2026-02-09T14:25:11.407008,14.98335575,0.0003132,70.0014,105.3133,268.9881,91.0919,0,U,64361,999,3647,0.00021557,2.48e-05,0.0
STARLINK-34335,2025-126U,2026-02-09T13:49:07.923360,14.98341858,0.0002751,70.0028,105.2276,262.291,97.7937,0,U,64362,999,3647,0.00010172,1.121e-05,0.0
STARLINK-34408,2025-126V,2026-02-09T13:37:06.017664,14.98330324,0.000288,70.0017,105.1963,263.5032,96.5799,0,U,64363,999,3647,-9.7225e-05,-1.253e-05,0.0
