constellation,OBJECT_NAME,NORAD_CAT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT,SEMIMAJOR_AXIS,PERIOD,APOAPSIS,PERIAPSIS,REV_AT_EPOCH,ELEMENT_SET_NO,OBJECT_TYPE,DECAY_DATE
GLONASS,COSMOS 1266,12409,2026-03-29T05:08:42.219456,13.90610621,0.0050184,64.7618,164.8744,285.1806,74.3708,1.9919e-05,-6.7e-07,0.0,7304.629,103.552,963.151,889.836,28156,999,PAYLOAD,
GLONASS,COSMOS 1269,12442,2026-03-29T04:47:31.726464,14.33109892,0.0009058,74.0537,151.6109,33.2309,326.941,6.2492e-05,1.46e-06,0.0,7159.492,100.481,787.842,774.871,34452,999,PAYLOAD,
GLONASS,COSMOS 1275,12504,2026-03-29T04:13:03.104832,13.7452766,0.0040681,82.9616,324.5519,43.4527,316.9823,5.0476e-05,6.3e-07,0.0,7361.498,104.763,1013.31,953.415,24828,999,PAYLOAD,
GLONASS,COSMOS 1285,12627,2026-03-28T04:37:11.359776,1.98062369,0.6050539,68.5021,96.7516,354.3539,195.1379,0.0,-4.19e-06,0.0,26783.492,727.044,36610.813,4199.901,24489,999,PAYLOAD,
GLONASS,COSMOS 1287,12636,2026-03-29T01:41:13.746336,12.44353875,0.0030385,74.0333,309.0852,129.9175,230.4551,0.00017694,1e-07,0.0,7866.337,115.723,1512.104,1464.301,2846,999,PAYLOAD,
GLONASS,COSMOS 1288,12637,2026-03-29T03:24:22.863456,12.46711937,0.0017415,74.0334,214.1573,31.7521,143.0931,-4.7591e-05,-2.3e-07,0.0,7856.415,115.504,1491.962,1464.598,3167,999,PAYLOAD,
GLONASS,COSMOS 1289,12638,2026-03-29T04:31:55.491744,12.54723757,0.0025166,74.0309,250.8114,210.3694,322.6212,9.3267e-05,-1e-08,0.0,7822.936,114.766,1464.488,1425.114,4475,999,PAYLOAD,
GLONASS,COSMOS 1290,12639,2026-03-29T02:54:45.552384,12.52833479,0.0015288,74.0352,327.3282,298.8215,173.7698,0.00010254,0.0,0.0,7830.803,114.939,1464.639,1440.696,4163,999,PAYLOAD,
GLONASS,COSMOS 1291,12640,2026-03-29T03:33:01.774944,12.50886039,0.0004075,74.0345,46.3702,7.8683,4.4205,3.123e-05,-1.1e-07,0.0,7838.928,115.118,1463.987,1457.599,3847,999,PAYLOAD,
GLONASS,COSMOS 1292,12641,2026-03-29T04:27:03.953952,12.48740191,0.0009127,74.0312,132.6324,264.6419,153.6723,0.00012862,3e-08,0.0,7847.906,115.316,1476.934,1462.608,3509,999,PAYLOAD,
GLONASS,COSMOS 1293,12642,2026-03-29T04:56:58.121664,12.56718332,0.0035321,74.0342,169.3941,121.894,303.7079,-1.8379e-05,-1.9e-07,0.0,7814.656,114.584,1464.123,1408.919,4802,999,PAYLOAD,
GLONASS,COSMOS 1294,12643,2026-03-29T03:11:06.131040,12.58770467,0.0045799,74.0294,84.6773,16.7323,57.9563,0.00016048,1.1e-07,0.0,7806.161,114.397,1463.777,1392.274,5132,999,PAYLOAD,
GLONASS,INTERCOSMOS 22,12645,2026-03-29T01:30:08.986464,14.18963749,0.0063888,81.2142,286.5436,79.2935,281.5425,5.4199e-05,1.29e-06,0.0,7206.996,101.483,874.906,782.817,30868,999,PAYLOAD,
GLONASS,COSMOS 1295,12681,2026-03-29T05:07:36.235776,13.7663884,0.0045073,82.9218,180.2811,136.5479,287.1989,3.2815e-05,4.8e-07,0.0,7353.97,104.603,1008.981,942.688,24124,999,PAYLOAD,
GLONASS,COSMOS 1299,12783,2026-03-28T21:25:07.896864,13.85533777,0.0045532,65.1155,289.745,219.3999,140.3749,4.2569e-05,-3.9e-07,0.0,7322.461,103.931,977.667,910.986,25615,999,PAYLOAD,
GLONASS,COSMOS 1302,12791,2026-03-29T04:59:47.822496,14.35033677,0.0018796,74.0299,17.828,195.6965,164.3607,7.5135e-05,1.88e-06,0.0,7153.091,100.346,788.401,761.512,33125,999,PAYLOAD,
GLONASS,COSMOS 1304,12803,2026-03-29T02:16:00.041952,13.87844018,0.0047234,82.9307,104.8883,91.4131,269.2443,7.0767e-05,1.01e-06,0.0,7314.333,103.758,970.747,901.65,63180,999,PAYLOAD,
GLONASS,COSMOS 1305,12818,2026-03-28T05:10:19.132608,5.46279178,0.49004908,62.7874,37.0225,268.6149,37.1873,8.4271386e-05,1.7e-07,0.0,13618.379,263.601,13913.918,566.57,88833,999,PAYLOAD,
GLONASS,COSMOS 1308,12835,2026-03-29T03:40:42.032928,13.75644578,0.0026616,82.9185,234.1441,320.6554,212.7347,6.6832e-05,8e-07,0.0,7357.513,104.678,998.96,959.795,23455,999,PAYLOAD,
GLONASS,COSMOS 1312,12879,2026-03-29T00:30:07.594272,12.42391888,0.0006156,82.5949,275.8797,281.4306,247.4746,0.00013722,2.9e-07,0.0,7874.617,115.905,1501.33,1491.634,55959,999,PAYLOAD,
GLONASS,COSMOS 1317,12933,2025-11-06T11:49:02.858880,2.00242621,0.47499354,71.5073,119.7468,327.7124,272.1738,0.0,1.19e-06,0.0,26588.724,719.128,32840.061,7581.117,32180,999,PAYLOAD,
GLONASS,COSMOS 1320,12975,2026-03-29T04:13:11.717184,12.28044477,0.0096333,73.9828,162.4758,31.0159,355.8698,-7.2473e-05,-2.3e-07,0.0,7935.832,117.26,1634.145,1481.248,98734,999,PAYLOAD,
GLONASS,COSMOS 1321,12976,2026-03-29T04:03:49.465728,12.28398044,0.0094023,73.9813,148.4134,18.7833,45.7492,2.6998e-05,-1.2e-07,0.0,7934.309,117.226,1630.775,1481.573,98792,999,PAYLOAD,
GLONASS,COSMOS 1322,12977,2026-03-29T05:45:11.611008,12.28728514,0.009305,73.9801,135.463,1.1088,64.7394,0.00012352,-1e-08,0.0,7932.886,117.194,1628.567,1480.936,98844,999,PAYLOAD,
GLONASS,COSMOS 1323,12978,2026-03-29T04:41:16.139616,12.29206824,0.0090124,73.979,117.2898,342.2125,84.3042,0.00019519,8e-08,0.0,7930.828,117.149,1624.169,1481.217,98922,999,PAYLOAD,
GLONASS,COSMOS 1324,12979,2026-03-29T03:07:27.484608,12.29739348,0.0087909,73.9784,96.345,317.8479,111.9299,0.00020271,8e-08,0.0,7928.538,117.098,1620.102,1480.704,99008,999,PAYLOAD,
