OBJECT_NAME,OBJECT_ID,anomaly_score,anomaly_factors,ECCENTRICITY,INCLINATION,BSTAR,MEAN_MOTION
STARLINK-2205,2021-006G,2,ECCENTRICITY=HIGH (0.000640 > 0.000535); INCLINATION=HIGH (97.451700 > 83.857200),0.0006396,97.4517,0.0036667,16.3971873
STARLINK-2206,2021-006H,2,ECCENTRICITY=HIGH (0.000929 > 0.000535); INCLINATION=HIGH (97.447500 > 83.857200),0.0009295,97.4475,0.00087872,16.51963604
STARLINK-2207,2021-006J,2,ECCENTRICITY=HIGH (0.000675 > 0.000535); INCLINATION=HIGH (97.496100 > 83.857200),0.0006746,97.4961,0.0012835,16.41846574
STARLINK-2208,2021-006K,2,ECCENTRICITY=HIGH (0.000865 > 0.000535); INCLINATION=HIGH (97.474100 > 83.857200),0.0008646,97.4741,0.0018169,16.37083573
STARLINK-2340,2021-021Y,2,ECCENTRICITY=HIGH (0.000711 > 0.000535); BSTAR=HIGH (0.005043 > 0.004463),0.0007113,53.0135,0.0050432135,16.22920402
STARLINK-2382,2021-018Q,2,ECCENTRICITY=HIGH (0.000799 > 0.000535); BSTAR=HIGH (0.005464 > 0.004463),0.0007992,53.0358,0.0054638,16.204677
STARLINK-2447,2021-027U,2,ECCENTRICITY=HIGH (0.000979 > 0.000535); BSTAR=HIGH (0.004531 > 0.004463),0.0009794,53.0356,0.0045309,16.30706766
STARLINK-2496,2021-040BL,2,ECCENTRICITY=HIGH (0.000733 > 0.000535); BSTAR=HIGH (0.004886 > 0.004463),0.0007328,53.0242,0.0048863,16.26924491
STARLINK-2601,2021-038AH,2,ECCENTRICITY=HIGH (0.000547 > 0.000535); BSTAR=HIGH (0.005854 > 0.004463),0.0005471,53.0423,0.0058544,16.31681003
STARLINK-2719,2021-044AR,2,ECCENTRICITY=HIGH (0.000705 > 0.000535); BSTAR=HIGH (0.005094 > 0.004463),0.0007047,53.0427,0.0050942,16.23938622
STARLINK-3003,2021-059A,2,ECCENTRICITY=HIGH (0.001256 > 0.000535); INCLINATION=HIGH (97.634100 > 83.857200),0.0012559,97.6341,0.00096259,16.42567573
STARLINK-30044,2023-026J,2,ECCENTRICITY=HIGH (0.001275 > 0.000535); BSTAR=HIGH (0.004976 > 0.004463),0.0012749,42.9869,0.0049762,16.37812962
STARLINK-30046,2023-026R,2,ECCENTRICITY=HIGH (0.001122 > 0.000535); BSTAR=HIGH (0.007514 > 0.004463),0.0011221,42.9901,0.0075137,16.19901758
STARLINK-30054,2023-026M,2,ECCENTRICITY=HIGH (0.001590 > 0.000535); BSTAR=HIGH (0.008355 > 0.004463),0.0015905,42.9893,0.0083552,16.17148379
STARLINK-30063,2023-026U,2,ECCENTRICITY=HIGH (0.001213 > 0.000535); BSTAR=HIGH (0.007749 > 0.004463),0.0012127,42.9932,0.0077492,16.17413156
STARLINK-30065,2023-026G,2,ECCENTRICITY=HIGH (0.001304 > 0.000535); BSTAR=HIGH (0.005710 > 0.004463),0.0013044,42.9891,0.0057095,16.21294983
STARLINK-30087,2023-067D,2,ECCENTRICITY=HIGH (0.001851 > 0.000535); BSTAR=HIGH (0.005481 > 0.004463),0.0018508,42.9673,0.0054813,16.23086685
