OBJECT_NAME,OBJECT_ID,EPOCH,predicted_anomaly,lof_score,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
STARLINK-35916,2025-263V,2026-02-09T17:58:55.880832,1,-2.350795354451314,15.27631989,0.000108,42.9986,152.1663,31.8708,328.2208,0.0014315,0.00039402,0.0
STARLINK-4029,2022-053AF,2026-02-09T18:36:58.067712,1,-2.348384271520799,15.08818,0.0001662,53.2175,269.439,44.9954,315.1173,-9.6473e-05,-1.822e-05,0.0
STARLINK-30233,2023-096N,2026-02-09T09:47:27.285216,1,-2.345641640762083,15.02572666,0.00035974,43.0076,16.7744,274.5781,85.465,-0.0009758677,-0.00013376,0.0
STARLINK-11270 [DTC],2024-158K,2026-02-09T11:37:08.666112,1,-2.3452497443675826,15.69785275,0.00017261,53.1571,60.3811,82.583,277.5384,0.0016248409,0.00201748,0.0
STARLINK-30837,2023-170G,2026-02-09T05:08:38.982048,1,-2.3450526876785585,15.02543636,0.0002106,42.9974,350.8452,30.2191,329.8773,6.8707e-05,7.25e-06,0.0
STARLINK-5140,2023-046BH,2026-02-09T01:09:26.246016,1,-2.335658111412428,15.02531701,0.0001632,42.9968,263.3683,28.2574,331.8356,0.00010050085,1.154e-05,0.0
STARLINK-33565,2024-237X,2026-02-09T16:00:00.999936,1,-2.334829220270973,15.27572588,0.0001741,43.0016,3.32,267.6374,206.212,0.00012968,3.307e-05,0.0
STARLINK-11746 [DTC],2025-127C,2026-02-08T15:05:22.949376,1,-2.334569282617014,15.7050995,0.0001276,42.9998,259.5565,212.881,147.1978,0.0056288,0.00783369,0.0
STARLINK-1762,2020-062T,2026-02-09T20:00:01.999008,1,-2.33374766205272,15.29347845,0.0001426,53.1538,140.3476,77.4255,215.868,9.234e-05,2.309e-05,0.0
STARLINK-11450 [DTC],2025-004H,2026-02-09T14:55:28.234848,1,-2.3331822331573377,15.70697288,7.35e-05,42.9986,239.9567,269.3375,90.7408,0.0053966,0.00754295,0.0
STARLINK-11275 [DTC],2024-187F,2026-02-09T11:35:20.069952,1,-2.3327876416062088,15.6967689,0.00031555,53.1591,75.0379,148.9329,211.1876,-2.2746275e-05,-3.343e-05,0.0
STARLINK-5617,2023-028N,2026-02-09T19:13:56.843040,1,-2.3078568271529516,14.98569251,0.0003751,70.0003,314.7384,268.0948,91.9782,0.0022896,0.00027505,0.0
STARLINK-33642,2025-099AC,2026-02-09T16:00:00.999936,1,-2.3055622630646653,15.27553166,0.0002023,43.0015,330.9471,273.2512,1.2893,0.0020719,0.00057148,0.0
STARLINK-35168,2025-198T,2026-02-09T20:00:01.999008,1,-2.3021108834644997,15.30161203,0.0001391,53.1586,40.4146,99.7256,300.016,0.0020239,0.00059996,0.0
STARLINK-4472,2022-105P,2026-02-09T15:08:26.022336,1,-2.298963603851592,15.01263169,3.29e-05,97.6031,282.7368,131.3665,228.7588,3.3727e-05,3.75e-06,0.0
STARLINK-34081,2025-102Y,2026-02-09T09:56:09.375360,1,-2.297485366589837,14.98342859,0.000276,70.0033,185.8739,242.7849,117.303,0.0011516285,0.00013679,0.0
STARLINK-30307,2023-131R,2026-02-09T03:51:41.488704,1,-2.29082388187382,15.02533902,0.00016458,43.0031,326.7253,207.2996,152.776,7.8325528e-05,8.54e-06,0.0
STARLINK-30840,2023-170T,2026-02-09T05:18:13.864320,1,-2.288729468960626,15.02528453,3.98e-05,43.0015,350.8849,250.9672,109.1127,4.2246e-05,3.67e-06,0.0
STARLINK-1321,2020-025AU,2026-02-09T22:00:03.000096,1,-2.2886704579813157,15.43726552,0.0001773,53.0503,190.9371,230.3178,254.0861,0.0030268,0.00141007,0.0
STARLINK-4412,2022-099N,2026-02-09T19:09:49.681152,1,-2.287311656850478,15.01256495,0.0004152,97.6023,162.8727,75.691,284.4775,-1.6506e-05,-2.7e-06,0.0
