OBJECT_NAME,OBJECT_ID,predicted_anomaly,lof_score,ECCENTRICITY,INCLINATION,BSTAR,MEAN_MOTION
STARLINK-30537,2023-153A,1,-2.978721326609945,0.0008919,43.0,0.0021624,15.27220138
STARLINK-30227,2023-113L,1,-2.973762850740909,0.0003903,43.0046,0.0013169,15.18475497
STARLINK-34657,2025-147W,1,-2.971516508031438,4.07e-05,53.157,0.0023911,15.30270887
STARLINK-36151,2025-299X,1,-2.971476563065298,0.0001396,43.0001,-0.11012,15.30072047
STARLINK-31704,2024-076Y,1,-2.9625919619013956,0.0008643,42.9982,0.0030809,15.31271569
STARLINK-6261,2023-061AV,1,-2.9313546856179338,0.0004632,42.9965,0.0050912,15.03094983
STARLINK-3855,2022-049Z,1,-2.9271905530632627,0.0001252,53.2143,0.0027653,16.00634382
STARLINK-4378,2022-099M,1,-2.921486965831095,9.32e-05,97.602,0.0052373,15.01835085
STARLINK-2383,2021-018R,1,-2.893796314018057,0.0001261,53.1557,-9.9441e-05,15.29340649
STARLINK-43,2019-029Y,1,-2.89156825202614,0.0051498,52.9787,0.00031058,16.52216489
STARLINK-5587,2023-094AD,1,-2.880828027008799,7.15e-05,43.0009,0.00038164,15.04575338
STARLINK-1039,2019-074AH,1,-2.877868401195349,0.0002796,53.0508,0.0024434,15.21909359
STARLINK-34487,2025-129F,1,-2.8748439099723955,0.000318,70.0023,-0.00039309,14.98330242
STARLINK-2103,2021-005AL,1,-2.8702734129560836,0.0001197,53.1598,0.00015983,15.31050065
STARLINK-4317,2022-077R,1,-2.869499906778418,0.0001757,97.6035,-0.00073661,15.04839227
STARLINK-1184,2020-006BG,1,-2.8607898075908897,0.0005336,53.0523,0.0019194,15.1034513
STARLINK-2315,2021-018C,1,-2.859896275561053,0.0001069,53.054,-0.0005099,15.06420532
STARLINK-2302,2021-024AZ,1,-2.843946856332775,0.0051143,53.0023,0.00046491,16.45073709
STARLINK-2705,2021-044AL,1,-2.8223062116339586,0.0001085,53.1601,-0.00011584,15.31026893
STARLINK-35843,2026-018T,1,-2.8218834504431354,0.000469,97.2849,0.0023231,15.75236502
STARLINK-35060,2025-212T,1,-2.8115031179955574,9.78e-05,53.1613,0.00098826,15.31095663
STARLINK-35533,2025-259H,1,-2.8103891038745674,8.7e-06,42.9976,0.0019853,15.2756557
STARLINK-3307,2021-125J,1,-2.7924744226832527,0.0010425,53.1826,0.0081965,16.39511435
STARLINK-34756,2025-152H,1,-2.7916544752413364,8.87e-05,97.603,0.0041692,15.04821334
STARLINK-30922,2023-180N,1,-2.7658923654293353,0.0003534,43.0035,0.0072489,15.26625025
STARLINK-3365,2022-005AT,1,-2.765807910334672,0.0006669,53.2157,0.1502,16.10504406
STARLINK-3276,2021-125AK,1,-2.7657560216041395,0.0004088,53.2147,0.0016597,15.12523092
STARLINK-5851,2023-037AK,1,-2.7638551439392627,0.000379,70.0228,0.015708,15.45345111
STARLINK-3952,2022-051B,1,-2.7605992002005566,0.0001485,53.2172,0.0087727,15.50718802
STARLINK-5720,2023-020BC,1,-2.7538685503288276,3.412e-05,43.0024,0.00024125568,15.02563561
STARLINK-3048,2021-082U,1,-2.749937355748999,0.00029772,69.9981,2.4572341e-05,14.97525475
STARLINK-30866,2023-171H,1,-2.742275909956283,0.0001565,43.0029,0.00086935,15.26677988
STARLINK-32784,2025-008W,1,-2.7393615926318313,0.000706,42.9993,0.0027512,15.31403639
STARLINK-3068,2021-082AA,1,-2.7382132194585957,0.00029752,69.9981,5.3169624e-05,14.97529775
STARLINK-36375,2026-036S,1,-2.7336109712123733,6.906e-05,42.999,0.0013842814,15.82109736
STARLINK-6144,2023-083U,1,-2.7296840489928873,0.0001177,43.0022,0.00030589,15.02536083
STARLINK-5956,2023-042J,1,-2.7266300796679324,0.00016052,43.0011,-0.00032315983,15.02504335
STARLINK-3886,2022-051AY,1,-2.710309525270502,0.0002292,53.1943,0.00019798,16.58849514
STARLINK-31119,2023-203A,1,-2.7017381127390268,0.0020354,42.9951,0.01956,16.27217415
STARLINK-36255,2025-299A,1,-2.6959726562163806,0.0001293,43.0003,-0.00014566,15.28406888
STARLINK-2162,2021-017AC,1,-2.6930424006897615,0.0001039,53.1589,0.015517,15.46030837
STARLINK-32828,2025-034S,1,-2.6868859541951187,5.24e-05,53.1564,0.0028121,15.3025293
STARLINK-6213,2023-083R,1,-2.685000532627684,0.0001739,43.0036,0.0010214,15.02632236
STARLINK-4398,2022-099B,1,-2.6776652714757416,0.0002794,97.6028,0.0021314,15.01482283
STARLINK-3633,2022-017AB,1,-2.657803508373067,0.0001428,53.2192,0.012214,15.41020329
STARLINK-30976,2023-183L,1,-2.6576261066983453,0.0001568,43.0013,0.00097259,15.26746976
STARLINK-3050,2021-082BC,1,-2.6531309065006825,0.0003928,69.9948,0.0029793,15.96401929
STARLINK-5091,2022-177BF,1,-2.6509202012181587,0.00013482,43.0077,0.00032338576,15.03165936
STARLINK-4491,2022-097W,1,-2.649298372238868,4.74e-05,53.2167,1.3366e-05,15.08840494
STARLINK-32264,2024-191X,1,-2.637541593611904,0.0004265,42.9989,0.0028738,15.32419443
STARLINK-30842,2023-177G,1,-2.6279654365993617,0.0001927,43.0011,0.00052725,15.24513082
